id,baslik,url,metin,kitap_adi,yayin_yili,donem,metin_uzunluk,kelime_sayisi
236,Gidişin Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/gidisin-2-siiri/,,,,Belirsiz,0,0
237,Yarınlarda Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yarinlarda-2-siiri/,,,,Belirsiz,0,0
238,Ötesi Yok Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/otesi-yok-siiri/,,,,Belirsiz,0,0
239,Serenad II Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/serenad-ii-siiri/,,,,Belirsiz,0,0
240,Ben Yine Geleceğim Şiiri - Ümit Yaşar Oğ ...,https://www.antoloji.com/ben-yine-gelecegim-siiri/,,,,Belirsiz,0,0
241,Türk İnsanlığı Şiiri - Önder Karaçay,https://www.antoloji.com/turk-insanligi-siiri/,,E-Kitap,,Belirsiz,0,0
242,Yaşam İnsana Ektiğini Biçtirir,https://www.antoloji.com/yasam-insana-ektigini-bictirir-siiri/,,E-Kitap,,Belirsiz,0,0
243,Kutlu olsun Şiiri - Ahmet Arslan Hadimi,https://www.antoloji.com/kutlu-olsun-79-siiri/,,,,Belirsiz,0,0
244,Sensiz Şehirler Şiiri - Kudret Kobal,https://www.antoloji.com/sensiz-sehir-7-siiri/,,E-Kitap,,Belirsiz,0,0
245,Davet*,https://www.antoloji.com/davet-300-siiri/,,,,Belirsiz,0,0
246,Ümit Dünyası Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/umit-dunyasi-siiri/,,,,Belirsiz,0,0
247,Ölümlü Dünya Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/olumlu-dunya-siiri/,,,,Belirsiz,0,0
248,Tesbih Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/tesbih-siiri/,,,,Belirsiz,0,0
249,Sevenler İçin Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/sevenler-icin-siiri/,,,,Belirsiz,0,0
