id,baslik,url,metin,sair,kitap_adi,yayin_yili,donem,kelime_sayisi
78,Her Gece Sen,https://www.antoloji.com/her-gece-sen-siiri/?siralama=p,"Her gece sen girersin rüyalarıma

Her gece sen...

Paramparça olur uykularım

Karanlığın en koyulaştığı yerde

Kapının çalındığını duyarım

Açınca soğuk bir rüzgar çarpar yüzüme

Sen yoksun...

Kilitlenir dudaklarım

Gözlerim karanlıklarda boşuna arar seni

Sen yoksun...

Yalnızlığımı kadehlere doldurup

Tek başıma içmeliyim bu gece

Kırmalıyım kitapları

Evleri ateşe vermeliyim

Sen yoksun...

Zaman gitgide uzar

Altmış saniye bir dakika

Altmış dakika bir saat

Ve sabahın olmasına daha beş saat var

Beklemek bir çeşit ölmektir

Sen yoksun...

Bu bana her gece binlerce ölüm demektir.
Neden ayrılsın ellerimiz her akşam üstü? 

Gözlerime acı bir karanlık düşsün

Bir vapur alsın götürsün seni

Ben vapurlar dolusu kederimle yapayalnızım

Sen uzak bir körfezde özlemli, dalgın

Kıyılarına çarpıp ağladığı yerde dalgaların

Neden ay karşılardan yükseldiği zaman, 

Başın omuzlarımda olmasın? 

Neden ellerin avuçlarımda değil? 

Neden gözlerim aradığı zaman gözlerini bulmasın? 
Durup durup beni bu çaresizlik hançerliyor

Bu yolların bir yerde ayrılması, 

Uzayan kilometreler...

O sefil, anlayışsız bakışları insanların

Dünya, o eski dünya değil

Tanrı'ysa çoktan unuttu bizi

Şu uçsuz bucaksız evrende

Ne derdimizi dinleyen, 

Ne de bir anlayan var sevgimizi.
İki ömür değil, 

İki ayrı ve büyük yalnızlıktır yaşadığımız.

Her şey aslında başka renkte.

Vernikli eşyalar, vernikli yüzler...

Altından yer yer sırıtan bir yoksulluk

Yalan üstüne yalan, 

Oyun içinde oyun...

Her şey bir yerde anlamsız ve boş

Gerçek olan şimdi senin yokluğun
Senin varlığını özledim duyuyormusun? 

Bak nasıl artıyor ellerimin sıcaklığı

Dinle bak nasıl çarpıyor yüreğim

Bütün sokaklarında bu şehrin sana koşuyorum

Seni soruyorum gelip geçene, 

'Görmedik', diyorlar.

Anlamıyorlar seni nasıl özlediğimi, 

Nasıl sevdiğimi bilmiyorlar.

Volkanlar tutuşuyor, 

Ormanlar yanıyor içimde.

Her gece milyonların uyuduğu bir anda, 

Devler uyanıyor içimde.
Seni düşünüyorum, 

Karanlıklar içinden özlemli sesin geliyor.

Bir ışık yanıyor çok uzaklarda, 

Çorak topraklarımın üzerinden bir bulut geçiyor.

Şimdi umutlarım, 

Varılmaz uçurum diplerinde

Korkunç, karanlık mağaralarda hayallerim.

Derin bir kuyudan su çekercesine, 

Zamandan ve mesafelerden seni çekiyor ellerim.

Sen her zaman olduğun gibi

Yine o en güzel, en değerli...

Benimse ellerim sımsıcak, 

Dudaklarım nemli, 

Özlediğim herşeyimle

Kopup en yüksek tepelerden

Bir çığ gibi sana geliyorum.

Sonra dağlar çöküyor ansızın, 

Ağaçlar devriliyor, 

Evler yıkılıyor, 

Altında kalıyorum...
Kırık bir heykel, 

Parçasını arıyor her gece.

Bir şarkı notasını...

Bir tablo renklerini...

Ağaç yapraklarını...

Vazo çiçeklerini...

Ve bir adam, 

Her gece yollara düşüp, 

Yana yakıla seni arıyor...

Mağrur gözleri ıslak, 

İlk defa ağlıyor bu adam, 

'Gel ' diye, 

İlk defa yalvarıyor...
Ben her gece, 

Gözlerim tavanda bir noktaya dikilmiş, 

Seni düşünüyorum.

Ve sen o saatlerde, 

Benim görmediğim rüyaları görüyorsun.

Bir böcek giriyor kafatasıma...

Her gece sen, 

Bir cinnet gibi, 

Kanıma yürüyorsun...

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 23.2.2001 16:10:00",,,,Belirsiz,415
79,Aşk Şairi,https://www.antoloji.com/ask-sairi-siiri/,"Acılar vardır, bir de çaresizlikler

Ne zaman başladıysa benim öyküm

Yürüdük, kim bilir kaç yıl beraber

Bir yanımda aşk, bir yanımda olum

Durup kirlendim yaşadıkça

Aşktı beni yıkayan, Arıtan su

Dünyamı saran bir uçtan bir uca

Hep o bir gün sevememek korkusu

Ben kalbimi o taşlarda biledim

Butun pisliklerini yeryüzünun

Kazıdım hançerimle yeniledim

Son dakikasında bile ömrümün

Ben Tanrıdan başka bir şey istemem

Her sevgiye acık olsun pencerem

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 16:40:00",,,,Belirsiz,76
80,Aşk Şairi,https://www.antoloji.com/ask-sairi-siiri/?siralama=p,"Acılar vardır, bir de çaresizlikler

Ne zaman başladıysa benim öyküm

Yürüdük, kim bilir kaç yıl beraber

Bir yanımda aşk, bir yanımda olum

Durup kirlendim yaşadıkça

Aşktı beni yıkayan, Arıtan su

Dünyamı saran bir uçtan bir uca

Hep o bir gün sevememek korkusu

Ben kalbimi o taşlarda biledim

Butun pisliklerini yeryüzünun

Kazıdım hançerimle yeniledim

Son dakikasında bile ömrümün

Ben Tanrıdan başka bir şey istemem

Her sevgiye acık olsun pencerem

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 16:40:00",,,,Belirsiz,76
81,Abanoz Sokağı,https://www.antoloji.com/abanoz-sokagi-siiri/,"Kirli çarşaflar ağardı karanlıktan

Abanoz sokağında akşam olmaktadır

Alçacık sedirlerde üryan kadınlar

Kötü kadınlar, kederli kadınlar

Çaresiz yalnızlıklar içinde

Sığınmış merhametine kederin

Kan gibi, irin gibi kadınlar
Ezilmiş bir çiçeğe benzer kalpleri

Gözbebeklerinde saadetten eser yok

Bekleşirler gelecek ilk sevgiliyi

Bu umutla sürüklenir sofalarda ayaklar

Sahipsiz ayaklar, zavallı ayaklar

Ayaklar çeker ağırlığını kaldırımların

Sürer ayakların çilesi mezara kadar
Soğuk ürpertileri içinde kimsesizliğin

Yorgun yatağında bir kadın ağlar

Günahkar dudakları kıpkırmızı

Sürmeli gözlerinde mor mor halkalar

Bir aksiseda gibi dağılır aynalarda

'Biraz aşk, biraz heyecan, biraz ümit'

Böylece hayat geçip gider loş odalarda
Solar güneş ışığı çiçekli basmalarda

Boyanır efkarlı yüzler ağır ağır

Kalçaları çürük içinde bir kötü kadın

Unutulmuş türküler söyler hafiften

Basık tavanlı odalar aydınlanır

Alçacık sedirlerde üryan kadınlar

Abanoz sokağında akşam olmaktadır

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 1.12.2001 05:10:00",,,,Belirsiz,132
82,Abanoz Sokağı,https://www.antoloji.com/abanoz-sokagi-siiri/?siralama=p,"Kirli çarşaflar ağardı karanlıktan

Abanoz sokağında akşam olmaktadır

Alçacık sedirlerde üryan kadınlar

Kötü kadınlar, kederli kadınlar

Çaresiz yalnızlıklar içinde

Sığınmış merhametine kederin

Kan gibi, irin gibi kadınlar
Ezilmiş bir çiçeğe benzer kalpleri

Gözbebeklerinde saadetten eser yok

Bekleşirler gelecek ilk sevgiliyi

Bu umutla sürüklenir sofalarda ayaklar

Sahipsiz ayaklar, zavallı ayaklar

Ayaklar çeker ağırlığını kaldırımların

Sürer ayakların çilesi mezara kadar
Soğuk ürpertileri içinde kimsesizliğin

Yorgun yatağında bir kadın ağlar

Günahkar dudakları kıpkırmızı

Sürmeli gözlerinde mor mor halkalar

Bir aksiseda gibi dağılır aynalarda

'Biraz aşk, biraz heyecan, biraz ümit'

Böylece hayat geçip gider loş odalarda
Solar güneş ışığı çiçekli basmalarda

Boyanır efkarlı yüzler ağır ağır

Kalçaları çürük içinde bir kötü kadın

Unutulmuş türküler söyler hafiften

Basık tavanlı odalar aydınlanır

Alçacık sedirlerde üryan kadınlar

Abanoz sokağında akşam olmaktadır

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 1.12.2001 05:10:00",,,,Belirsiz,132
83,Dostlar Seni Unutur Mu,https://www.antoloji.com/dostlar-seni-unutur-mu-siiri/,"Doldurulmaz yerin senin

Dostlar seni unutur mu?

Hiç sönmezdi nurun senin

Dostlar seni unutur mu?
Tertemiz bir özün vardı

Apaydınlık yüzün vardı

Söylenecek sözün vardı

Dostlar seni unutur mu?
Her gerçeği gören sendin

Aşk sırrına eren sendin

Gönüllere giren sendin

Dostlar seni unutur mu?
Çektin, yazdın ve söyledin

Verdin, almak istemedin

Sadık yarim toprak dedin

Dostlar seni unutur mu?
Hiç kimseyi incitmedin

Kalp kırmadın, kin gütmedin

Dostlarını unutmadın

Dostlar seni unutur mu?
Şiirde sağlam temeldin

İnsanlıkta en güzeldin

Biz bir UMIT, sen VEYSEL’DİN

Dostlar seni unutur mu?

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 19:19:00",,,,Belirsiz,95
84,Dostlar Seni Unutur Mu,https://www.antoloji.com/dostlar-seni-unutur-mu-siiri/?siralama=p,"Doldurulmaz yerin senin

Dostlar seni unutur mu?

Hiç sönmezdi nurun senin

Dostlar seni unutur mu?
Tertemiz bir özün vardı

Apaydınlık yüzün vardı

Söylenecek sözün vardı

Dostlar seni unutur mu?
Her gerçeği gören sendin

Aşk sırrına eren sendin

Gönüllere giren sendin

Dostlar seni unutur mu?
Çektin, yazdın ve söyledin

Verdin, almak istemedin

Sadık yarim toprak dedin

Dostlar seni unutur mu?
Hiç kimseyi incitmedin

Kalp kırmadın, kin gütmedin

Dostlarını unutmadın

Dostlar seni unutur mu?
Şiirde sağlam temeldin

İnsanlıkta en güzeldin

Biz bir UMIT, sen VEYSEL’DİN

Dostlar seni unutur mu?

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 19:19:00",,,,Belirsiz,95
85,Bir Gün,https://www.antoloji.com/bir-gun-3-siiri/,"Apansız uyanırsan gecenin bir yerinde

Gözlerin uzun uzun karanlığa dalarsa

Bir sıcaklık duyarsan üşüyen ellerinde

Ve saatler gecikmiş zamanları çalarsa

Bil ki seni düşünüyorum
Bir vapur yanaşırsa rıhtımına bin, acil

Örtün karanlıkları masmavi denizlerde

Ve dinle kalbimi bak nasıl çarpıyor nasıl

O bütün özlemlerin koyulaştığı yerde

Bil ki seni bekliyorum
Bir sabah gün doğarken aç perdelerini, bak

Sevinçle balkonuna konuyorsa martılar

Kendini tadılmamış derin bir hazza bırak

Dökülsün dudağından en umutlu şarkılar

Bil ki seni istiyorum
Gecelerden bir gece uyanırsan apansız

Uzaklarda elemli, garip bir kuş öterse

Bir ceylan ağlıyorsa dağlarda yapayalnız

Ve bir gün kabrimde bir kara gül biterse

Bil ki seni seviyorum

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 18:42:00",,Bir Gün Anlarsın,1965.0,Olgunluk Dönemi (1963–1972),112
86,Bir Gün,https://www.antoloji.com/bir-gun-3-siiri/?siralama=p,"Apansız uyanırsan gecenin bir yerinde

Gözlerin uzun uzun karanlığa dalarsa

Bir sıcaklık duyarsan üşüyen ellerinde

Ve saatler gecikmiş zamanları çalarsa

Bil ki seni düşünüyorum
Bir vapur yanaşırsa rıhtımına bin, acil

Örtün karanlıkları masmavi denizlerde

Ve dinle kalbimi bak nasıl çarpıyor nasıl

O bütün özlemlerin koyulaştığı yerde

Bil ki seni bekliyorum
Bir sabah gün doğarken aç perdelerini, bak

Sevinçle balkonuna konuyorsa martılar

Kendini tadılmamış derin bir hazza bırak

Dökülsün dudağından en umutlu şarkılar

Bil ki seni istiyorum
Gecelerden bir gece uyanırsan apansız

Uzaklarda elemli, garip bir kuş öterse

Bir ceylan ağlıyorsa dağlarda yapayalnız

Ve bir gün kabrimde bir kara gül biterse

Bil ki seni seviyorum

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 18:42:00",,Bir Gün Anlarsın,1965.0,Olgunluk Dönemi (1963–1972),112
87,A,https://www.antoloji.com/a-3-siiri/,"Senin aydınlığın yetişir bana

Güneşi istemiyorum

Yıldızları istemiyorum

Açma perdeleri

Ben bu karanlığı seviyorum

Ben yalnızlığı bu geceleri
Karanlıklar benim için yaratıldı A

Aydınlıklar senin için

Sen olmasan B'ler C'ler D'ler olmazdı

Ben olmazdım

Bu mavi gökyüzü

Bu yeşil deniz olmazdı
Z'ye kadar yürüdüm bir akşam

Allı morlu ağaçlar gördüm

Akça pakça kadınlar gördüm

Yine seni unutamadım A
Senin aydınlığın yetişir bana

Yum gözlerini üçe kadar say

Bütn B'leri C'leri A

Bütün akları kara yapacağım

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 2.9.2002 05:00:00",,Bir Gün Anlarsın,1965.0,Olgunluk Dönemi (1963–1972),83
88,A,https://www.antoloji.com/a-3-siiri/?siralama=p,"Senin aydınlığın yetişir bana

Güneşi istemiyorum

Yıldızları istemiyorum

Açma perdeleri

Ben bu karanlığı seviyorum

Ben yalnızlığı bu geceleri
Karanlıklar benim için yaratıldı A

Aydınlıklar senin için

Sen olmasan B'ler C'ler D'ler olmazdı

Ben olmazdım

Bu mavi gökyüzü

Bu yeşil deniz olmazdı
Z'ye kadar yürüdüm bir akşam

Allı morlu ağaçlar gördüm

Akça pakça kadınlar gördüm

Yine seni unutamadım A
Senin aydınlığın yetişir bana

Yum gözlerini üçe kadar say

Bütn B'leri C'leri A

Bütün akları kara yapacağım

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 2.9.2002 05:00:00",,Bir Gün Anlarsın,1965.0,Olgunluk Dönemi (1963–1972),83
89,Zaman İçinde,https://www.antoloji.com/zaman-icinde-siiri/,"Bak! İşte gizleri yaşamın, işte mutluluk

Gülümsüyor bir kapı aralıgından

Ellerimizi uzatsak tutabiliriz belki

Şimdi ya da hiç bir zaman
Unuttugum bir şarkı mı? neydi o

Çok eskilerde düşmezdi agzımdan

Birlikte yine söyleyebiliriz belki

Şimdi ya da hiç bir zaman
Gülen bir çocuk vardı yıllarca önce

Düşleriyle bulutlar üstünde yaşayan

Belki bir kez daha yaşarız o günleri

Şimdi ya da hiç bir zaman
Nasıl da yandı bir anda. Görüyor musun?

Dev agaçlarıyla o içimizdeki orman

Yanmamış bir yer buluruz belki, ararsak

Şimdi ya da hiç bir zaman
Kişi sımsıkı sarılıyor bulduklarına

Umutların bir rüzgarla savruldugu an

Yine de bir şeyler kurtarabiliriz belki

Şimdi ya da hiç bir zaman
Her şey bize biz kadar yabancı artık

Giderek yitiyor zaman içinde insan

Oysa ki, çagları aşabiliriz birlikte, gel

Şimdi ya da hiç bir zaman

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 11.8.2000 15:54:00",,,,Belirsiz,140
90,Zaman İçinde,https://www.antoloji.com/zaman-icinde-siiri/?siralama=p,"Bak! İşte gizleri yaşamın, işte mutluluk

Gülümsüyor bir kapı aralıgından

Ellerimizi uzatsak tutabiliriz belki

Şimdi ya da hiç bir zaman
Unuttugum bir şarkı mı? neydi o

Çok eskilerde düşmezdi agzımdan

Birlikte yine söyleyebiliriz belki

Şimdi ya da hiç bir zaman
Gülen bir çocuk vardı yıllarca önce

Düşleriyle bulutlar üstünde yaşayan

Belki bir kez daha yaşarız o günleri

Şimdi ya da hiç bir zaman
Nasıl da yandı bir anda. Görüyor musun?

Dev agaçlarıyla o içimizdeki orman

Yanmamış bir yer buluruz belki, ararsak

Şimdi ya da hiç bir zaman
Kişi sımsıkı sarılıyor bulduklarına

Umutların bir rüzgarla savruldugu an

Yine de bir şeyler kurtarabiliriz belki

Şimdi ya da hiç bir zaman
Her şey bize biz kadar yabancı artık

Giderek yitiyor zaman içinde insan

Oysa ki, çagları aşabiliriz birlikte, gel

Şimdi ya da hiç bir zaman

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 11.8.2000 15:54:00",,,,Belirsiz,140
91,Üstüme Varma İstanbul,https://www.antoloji.com/ustume-varma-istanbul-siiri/,"Sana geldim içim ümitlerle dolu

Beni sarhoş etme İstanbul,ne olur

Bir gün ben de eririrm caddelerinde

Çürür kemiklerim adım unutulur
Yine sen kalırsın dipdiri,sımsıcak

Göğün bulutların,denizlerin kalır

Oynama İstanbul,benimle oynama

Bir gün öldürür beni bu dert,bu kahır
Ezilmiş ellerimin arasında başım

Bu yeryüzünde başka çarem kalmamış

İşte gelip kapılarına dayanmışım
Karşında yıkılmış duvar gibiyim

Beni sarhoş etme,başım dönüyor

Üstüme varma İstanbul,kederliyim

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 17.6.2000 13:36:00",,Üstüme Varma İstanbul,1961.0,Erken Dönem (1947–1962),69
92,Üstüme Varma İstanbul,https://www.antoloji.com/ustume-varma-istanbul-siiri/?siralama=p,"Sana geldim içim ümitlerle dolu

Beni sarhoş etme İstanbul,ne olur

Bir gün ben de eririrm caddelerinde

Çürür kemiklerim adım unutulur
Yine sen kalırsın dipdiri,sımsıcak

Göğün bulutların,denizlerin kalır

Oynama İstanbul,benimle oynama

Bir gün öldürür beni bu dert,bu kahır
Ezilmiş ellerimin arasında başım

Bu yeryüzünde başka çarem kalmamış

İşte gelip kapılarına dayanmışım
Karşında yıkılmış duvar gibiyim

Beni sarhoş etme,başım dönüyor

Üstüme varma İstanbul,kederliyim

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 17.6.2000 13:36:00",,Üstüme Varma İstanbul,1961.0,Erken Dönem (1947–1962),69
93,Ben Eylül Sen Haziran,https://www.antoloji.com/ben-eylul-sen-haziran-siiri/,"Bir eylüldü başlayan içimde

Ağaçlar dökmüştü yapraklarını

Çimenler sararmıştı

Rengi solmuştu tüm çiçeklerin

Gökyüzünü kara bulutlar sarmıştı

Katar gidiyordu kuşlar uzaklara

Deli deli esiyordu rüzgar

Dağılmıştı yazdan kalan ne varsa

Yaşanmamış bir mevsim gibiydi bahar
Neydi o bir zamanlar

Sevmişliğim, sevilmişliğim

O heyheyler, o delişmenlikler neydi

Ne bu kadere boyun eğmişliğim

Ne bu acıdan korlaşan yürek

Ne bu kurumuş nehir; gözyaşım

Önümdeki diz boyu karanlıklar da ne

Ne bu ardımdaki kül yığını; elli yaşım
Beni kötü yakaladın haziran

Gamlı, yıkık eylül sonuma

Bir ilk yaz tazeliği getirdin

Masmavi göğünle

Cana can katan güneşinle

Pırıl pırıl engin denizinle girdin içime

Çiçekler açtı dokunduğun

Çimler büyüdü yürüdüğün

Ve güller katmer oldu güldüğün yerde
Başımda senin kuşların kanat çırpıyor şimdi

Oldurduğun yemişlerin ağırlığından

Dallarım yere değiyor

Güneşi batmadan saçlarının

Bir dolunay doğuyor bakışlarından

Gün boyu senden bir meltem esiyor yanan alnıma

Uykusuz gecelerim seninle apaydınlık

Başım dönüyor, of başım dönüyor yaşamaktan

Ölebilirim artık
Ölme diyorsan; gitme kal öyleyse

Sarıl sımsıkı, tenim ol, beni bırakma

Baksana; parmak uçlarım ateş

Lavlar fışkırıyor göz bebeklerimden

Hadi gel, tut ellerimi, benimle yan

Benimle meydan oku her çaresizliğe

Benimle uyu, benimle uyan

Birlikte varalım on üçüncü aylara

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 17:05:00",,,,Belirsiz,197
94,Ben Eylül Sen Haziran,https://www.antoloji.com/ben-eylul-sen-haziran-siiri/?siralama=p,"Bir eylüldü başlayan içimde

Ağaçlar dökmüştü yapraklarını

Çimenler sararmıştı

Rengi solmuştu tüm çiçeklerin

Gökyüzünü kara bulutlar sarmıştı

Katar gidiyordu kuşlar uzaklara

Deli deli esiyordu rüzgar

Dağılmıştı yazdan kalan ne varsa

Yaşanmamış bir mevsim gibiydi bahar
Neydi o bir zamanlar

Sevmişliğim, sevilmişliğim

O heyheyler, o delişmenlikler neydi

Ne bu kadere boyun eğmişliğim

Ne bu acıdan korlaşan yürek

Ne bu kurumuş nehir; gözyaşım

Önümdeki diz boyu karanlıklar da ne

Ne bu ardımdaki kül yığını; elli yaşım
Beni kötü yakaladın haziran

Gamlı, yıkık eylül sonuma

Bir ilk yaz tazeliği getirdin

Masmavi göğünle

Cana can katan güneşinle

Pırıl pırıl engin denizinle girdin içime

Çiçekler açtı dokunduğun

Çimler büyüdü yürüdüğün

Ve güller katmer oldu güldüğün yerde
Başımda senin kuşların kanat çırpıyor şimdi

Oldurduğun yemişlerin ağırlığından

Dallarım yere değiyor

Güneşi batmadan saçlarının

Bir dolunay doğuyor bakışlarından

Gün boyu senden bir meltem esiyor yanan alnıma

Uykusuz gecelerim seninle apaydınlık

Başım dönüyor, of başım dönüyor yaşamaktan

Ölebilirim artık
Ölme diyorsan; gitme kal öyleyse

Sarıl sımsıkı, tenim ol, beni bırakma

Baksana; parmak uçlarım ateş

Lavlar fışkırıyor göz bebeklerimden

Hadi gel, tut ellerimi, benimle yan

Benimle meydan oku her çaresizliğe

Benimle uyu, benimle uyan

Birlikte varalım on üçüncü aylara

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 17:05:00",,,,Belirsiz,197
95,Ayrılırken,https://www.antoloji.com/ayrilirken-siiri/,"Dinle sevdiğim, bu ayrılık saatidir.

Dünya var olalı beri çirkin ve soğuk, 

Erken içeceğimiz bir ilaç gibi.

Tadı dudaklarımızda acımsı, buruk.

Bu saatte gözyaşları, yeminler, 

Boş bir tesellidir inandığımız.

Perde kapanıyor, filim bitiyor işte, 

O hiç bitmeyecek sandığımız...

Görüyorsun, konuşacak bir şeyimiz kalmadı.

Sadece bakışlarımızda hüzün.

İste ayrılık bu; hiç beklemediğimiz...

O ikiz kardeşi ölümün.

Anlıyorum bir daha görüşemeyeceğiz

Bu son buluşmamızdır seninle

Yeni bir hayata başlayacaksın artık

Onunla, o yeni sevgilinle.

Anlıyorum artık o öpecek ellerini

Kulağına askı o fısıldayacak

İçinde bir pişmanlıktan başka

Benden eser kalmayacak.

Sigaranı sondur, kalkabiliriz

On adim sonra yollarımız ayrılmalı

Sakın ağlama ve bir şey söyleme bana

İnsan ayrılırken bile büyük olmalı.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 16:57:00",,,,Belirsiz,116
96,Ayrılırken,https://www.antoloji.com/ayrilirken-siiri/?siralama=p,"Dinle sevdiğim, bu ayrılık saatidir.

Dünya var olalı beri çirkin ve soğuk, 

Erken içeceğimiz bir ilaç gibi.

Tadı dudaklarımızda acımsı, buruk.

Bu saatte gözyaşları, yeminler, 

Boş bir tesellidir inandığımız.

Perde kapanıyor, filim bitiyor işte, 

O hiç bitmeyecek sandığımız...

Görüyorsun, konuşacak bir şeyimiz kalmadı.

Sadece bakışlarımızda hüzün.

İste ayrılık bu; hiç beklemediğimiz...

O ikiz kardeşi ölümün.

Anlıyorum bir daha görüşemeyeceğiz

Bu son buluşmamızdır seninle

Yeni bir hayata başlayacaksın artık

Onunla, o yeni sevgilinle.

Anlıyorum artık o öpecek ellerini

Kulağına askı o fısıldayacak

İçinde bir pişmanlıktan başka

Benden eser kalmayacak.

Sigaranı sondur, kalkabiliriz

On adim sonra yollarımız ayrılmalı

Sakın ağlama ve bir şey söyleme bana

İnsan ayrılırken bile büyük olmalı.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 16:57:00",,,,Belirsiz,116
97,Anı,https://www.antoloji.com/ani-4-siiri/,"Ne varsa en güzel üç gün üç gece

Bir kıyı şehrinde seninle yaşadık

Tutuştum,elim ellerine değince

Öylesi sıcaktın,öylesi aydınlık
Güzellikten,mutluluktan,sevgiden

Kumların üstünde bir evren yarattık

O dakikalar yaşandı mı sahiden

Bir düş müydü yoksa gercekten var mıydık
Nasıl geçip gidiverdi o zamanlar

O bir daha zor yaşanılır çılgınlık

O alev alev yaktığımız ormanlar
Ey şimdi o kıyı şehrinde kalanlar 

Duyun,anlayın,haykırın çığlık çığlık

Böyle bir anı bir daha yaşanmaz artık.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 25.2.2001 14:10:00",,,,Belirsiz,77
98,Anı,https://www.antoloji.com/ani-4-siiri/?siralama=p,"Ne varsa en güzel üç gün üç gece

Bir kıyı şehrinde seninle yaşadık

Tutuştum,elim ellerine değince

Öylesi sıcaktın,öylesi aydınlık
Güzellikten,mutluluktan,sevgiden

Kumların üstünde bir evren yarattık

O dakikalar yaşandı mı sahiden

Bir düş müydü yoksa gercekten var mıydık
Nasıl geçip gidiverdi o zamanlar

O bir daha zor yaşanılır çılgınlık

O alev alev yaktığımız ormanlar
Ey şimdi o kıyı şehrinde kalanlar 

Duyun,anlayın,haykırın çığlık çığlık

Böyle bir anı bir daha yaşanmaz artık.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 25.2.2001 14:10:00",,,,Belirsiz,77
99,Gerçekten Sevmek,https://www.antoloji.com/gercekten-sevmek-siiri/,"O durmadan kaçıyor;

sen ardından gitmiyorsan;

o günün her saatinde saklanıyor,

sen yollara düşüp deli divane aramıyorsan;

o sana acıların en büyüğünü tattırıyo

sen bundan en yüce hazzı duymuyorsan;

boşuna aldatma kendini,

onu sevmiyorsun demektir.

Elindeki içki kadehinde,

dudağındaki sigarada ,

okuduğun kitapta,

mırıldandığın şarkıda,

söylediğin şiirde,

gördüğün rüyada

ve yasaman için

ciğerlerine doldurduğun havada

o yoksa;

Onun vazgeçilmezliğini anlamamışsan;

onu sevmiyorsun demektir.

Renkler onunla değerlenmiyorsa,

örneğin onsuz kırmızı kırmızılığının,

mavi maviliğinin farkında değilse,

beyaz yalnız o giydiği zaman

güzelliğini haykırmıyorsa,

sabahları onu görünceye kadar

güneş doğmuyorsa

ve onsuz gökyüzü geceleri

aya, yıldızlara

hasret değilse

onu sevmiyorsun demektir.

Sokakta gördüğün her yüzde

ondan birşeyler aramıyorsan,

güzel bir manzara,

hüzünlü bir musiki onu hatırlatmıyorsa

uykudan uyandığın zaman

yasamakta olduğundan önce

onu hatırlamıyorsan,

omuzlarına dökülmüş sacları,

bir sis perdesinin ardında

her zaman gülen,

ışık saçan gözleri

aklına gelmiyorsa,

durup durup avuçlarının

sıcaklığını özlemiyorsan;

Onu sevmiyorsun demektir.

Dünyada yaşayan öteki insanların

senin için hala bir değeri varsa ,

ona karsı tutumunu

toplumun köhne ve manasız

kurallarına göre ayarlayorsan

ve açık açık

sanki var olduğunu haykırırcasına

sevgini söylemiyorsan;

Onu sevmiyorsun demektir.

Yok o senin için

herşeyden değerliyse,

gözünü yumduğun anda

onu görebiliyorsan,

o bütün şarkılarda,

bütün şiirlerde,

bütün resimlerde ise,

ona muhtaç olduğunu

söylemekten utanmıyorsan,

senin içten ve büyük sevgine

karşılık vermeyeceğinden

korkmuyorsan,

bütün bencil duygularından

sıyrılabilmişsen

onun için herşeyi,

ama herşeyi yapacak gücü

kendinde buluyorsan,

her hali sana

ayrı ayrı güzel geliyorsa,

karşısında kendini

bir çocuk gibi hissediyorsan,

istediği anda onun için

ölebileceksen,

onun için yaşıyorsan

ve yine onun için

bildiğin bilmediğin

bütün düşmanlıklara

karşı koyabileceksen,

o her geçen dakika

sende biraz daha büyüyorsa

ve kendi kendine bile

çok sevdiğini bütün

samimiyetinle,

inanmışlığınla

itiraf edebiliyorsan,

bir gün o seni hiç,

ama hiç sevmediğini söylese bile ,

senin sevginde azalma olmayacaksa

ve ölünceye kadar onu aşkların

en ölümsüzü ile sevebileceksen;

iste o zaman

onu seviyorsun demektir.

O sana sevmeyi,

gerçek aşkı öğretti.

Sen onu hep sevecek

ve sevilmenin mutluluğunu tattıracaksın.

O, hiç sen olmasan bile,

seni bir parça sevmese bile....

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 12.1.2001 17:44:00",,,,Belirsiz,334
