id,baslik,url,metin,sair,kitap_adi,yayin_yili,donem,kelime_sayisi
11,Acılar Denizi,https://www.antoloji.com/acilar-denizi-siiri/,"Ben acılar denizinde boğulmuşum

işitmem vapur düdüklerini, martı çığlıklarını

Dalgalar her gün bir başka kıyıya atar beni

Duyarım yosunların benim için ağladıklarını
Ölüyüm çoktan, bir baksana gözlerime

Gör, içindeki o kanlı cam kırıklarını

Bu ne karanlık, bu ne zindan gece böyle

Bütün gemiler söndürmüş ışıklarını
Ben acılar denizi olmuşum, yaklaşma

Sularım tuzlu, sularım zehir zemberek

Baksana; herkes içime dökmüş artıklarını
Bu karanlık bitse artık, bir ay doğsa

Bir deli rüzgar çıksa; alıp götürse

Yılların içimde bıraktıklarını...

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 16:22:00",,Acılar Denizi,1977.0,Son Dönem (1973–1984),84
12,Acılar Denizi,https://www.antoloji.com/acilar-denizi-siiri/?siralama=p,"Ben acılar denizinde boğulmuşum

işitmem vapur düdüklerini, martı çığlıklarını

Dalgalar her gün bir başka kıyıya atar beni

Duyarım yosunların benim için ağladıklarını
Ölüyüm çoktan, bir baksana gözlerime

Gör, içindeki o kanlı cam kırıklarını

Bu ne karanlık, bu ne zindan gece böyle

Bütün gemiler söndürmüş ışıklarını
Ben acılar denizi olmuşum, yaklaşma

Sularım tuzlu, sularım zehir zemberek

Baksana; herkes içime dökmüş artıklarını
Bu karanlık bitse artık, bir ay doğsa

Bir deli rüzgar çıksa; alıp götürse

Yılların içimde bıraktıklarını...

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 16:22:00",,Acılar Denizi,1977.0,Son Dönem (1973–1984),84
13,Dağ Rüzgarı,https://www.antoloji.com/dag-ruzgari-siiri/,"Kaderde senden ayrı düşmek de varmış

Doğrusu bunu hiç düşünmemiştim..

Seni tanımadan

Hele seni böyle deli divane sevmeden 

Yalnızlık güzeldir diyordum

Al başını, kaç bu şehirden

Ufukta bir çizgi gibi gördüğün dağlara

Rüzgarın iyot kokularını taşıdığı denizlere git 

Git gidebildiğin yere git diyordum

Oysa ki, senden kaçılmazmış

Yokluğuna bir gün bile dayanılmazmış.

Bilmiyordum.
Yine de dayanmağa çalışıyorum işte

Bir kır çiçeği koparıyorum gözlerine benzeyen

Geçen bulutlara sesleniyorum ellerin diye

Rüzgar güzel bir koku getirmişse

Saçlarını okşayıp gelmiştir diyerek avunuyorum

Yaşamak seninle bir başka zamanı

Bir başka zamanda seni yaşamak

Her şeyden önce sen 

Elbette sen

Mutlaka sen

İster uzaklarda ol

İster yanı başımda dur

Sen ol yeter ki bu zaman içinde

Ben olmasam da olur

Seni bir yumağa sarıyorum yıllardır

Bitmiyorsun

Çaresizliğim gün gibi aşikar

Su olup çeşmelerden akan güzelliğin

İnceliğin ışık yüzüme vuran 

Sen güneş kadar sıcak

Tabiat kadar gerçek

Sen bahçelerde çiçekler açtıran

Sudan, havadan, güneşten yüce varlık

Sen, o tek sevgi içimde

Sen görebildiğim tek aydınlık
Bir nefeste benim için al

Havasızlıktan öldürme beni

Bulutlara, yıldızlara benim için de bak

Susadım diyorsam

Bir yudum su içmelisin

Ben yorulduysam sen uyumalısın

Ellerim sevilmek istiyor

Saçlarım okşanmak istiyor

Dudaklarım öpülmek istiyor 

Anlamalısın.
Ağaçların yeşili kalmadı

Gökyüzünün mavisi yok

Bu dağlar o dağlar değil

Rüzgarında kekik kokusu yok

Kim bu çaresiz adam 

Bu kan çanağı gözler kimin

Kaç gecedir uykusu yok

Gündüzü yok

Gecesi yok

Yok

Yok

Anladım

Sensiz yaşanmaz bu dünyada 

İmkanı yok.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 19:04:00",,,,Belirsiz,242
14,Dağ Rüzgarı,https://www.antoloji.com/dag-ruzgari-siiri/?siralama=p,"Kaderde senden ayrı düşmek de varmış

Doğrusu bunu hiç düşünmemiştim..

Seni tanımadan

Hele seni böyle deli divane sevmeden 

Yalnızlık güzeldir diyordum

Al başını, kaç bu şehirden

Ufukta bir çizgi gibi gördüğün dağlara

Rüzgarın iyot kokularını taşıdığı denizlere git 

Git gidebildiğin yere git diyordum

Oysa ki, senden kaçılmazmış

Yokluğuna bir gün bile dayanılmazmış.

Bilmiyordum.
Yine de dayanmağa çalışıyorum işte

Bir kır çiçeği koparıyorum gözlerine benzeyen

Geçen bulutlara sesleniyorum ellerin diye

Rüzgar güzel bir koku getirmişse

Saçlarını okşayıp gelmiştir diyerek avunuyorum

Yaşamak seninle bir başka zamanı

Bir başka zamanda seni yaşamak

Her şeyden önce sen 

Elbette sen

Mutlaka sen

İster uzaklarda ol

İster yanı başımda dur

Sen ol yeter ki bu zaman içinde

Ben olmasam da olur

Seni bir yumağa sarıyorum yıllardır

Bitmiyorsun

Çaresizliğim gün gibi aşikar

Su olup çeşmelerden akan güzelliğin

İnceliğin ışık yüzüme vuran 

Sen güneş kadar sıcak

Tabiat kadar gerçek

Sen bahçelerde çiçekler açtıran

Sudan, havadan, güneşten yüce varlık

Sen, o tek sevgi içimde

Sen görebildiğim tek aydınlık
Bir nefeste benim için al

Havasızlıktan öldürme beni

Bulutlara, yıldızlara benim için de bak

Susadım diyorsam

Bir yudum su içmelisin

Ben yorulduysam sen uyumalısın

Ellerim sevilmek istiyor

Saçlarım okşanmak istiyor

Dudaklarım öpülmek istiyor 

Anlamalısın.
Ağaçların yeşili kalmadı

Gökyüzünün mavisi yok

Bu dağlar o dağlar değil

Rüzgarında kekik kokusu yok

Kim bu çaresiz adam 

Bu kan çanağı gözler kimin

Kaç gecedir uykusu yok

Gündüzü yok

Gecesi yok

Yok

Yok

Anladım

Sensiz yaşanmaz bu dünyada 

İmkanı yok.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 19:04:00",,,,Belirsiz,242
15,Sevi,https://www.antoloji.com/sevi-siiri-siiri/,"Ben senin en çok sesini sevdim

Buğulu çoğu zaman, taze bir ekmek gibi

Önce aşka çağıran, sonra dinlendiren

Bana her zaman dost, her zaman sevgili
Ben senin en çok ellerini sevdim

Bir pınar serinliğinde, küçücük ve ak pak

Nice güzellikler gördüm yeryüzünde

En güzeli bir sabah ellerinle uyanmak
Ben senin en çok gözlerini sevdim

Kah çocukça mavi, kah inadına yeşil

Aydınlıklar, esenlikler, mutluluklar

Hiç biri gözlerin kadar anlamlı değil
Ben senin en çok gülüşünü sevdim

Sevindiren, içimde umut çiçekleri açtıran

Unutturur bana birden acıları, güçlükleri

Dünyam aydınlanır sen güldüğün zaman
Ben senin en çok davranışlarını sevdim

Güçsüze merhametini, zalime direnişini

Haksızlıklar, zorbalıklar karsısında

Vahşi ve mağrur bir dişi kaplan kesilişini
Ben senin en çok sevgi dolu yüreğini sevdim

Tüm çocuklara kanat geren anneliğini

Nice sevgilerin bir pula satıldığı bir dünyada

Sensin, her şeyin üstünde tutan sevgini
Ben senin en çok bana yansımanı sevdim

Bende yeniden var olmanı, benimle bütünleşmeni

Mertliğini, yalansızlığını, dupduruluğunu sevdim

Ben seni sevdim, ben seni sevdim, ben seni...

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 20:39:00",,,,Belirsiz,169
16,Sevi,https://www.antoloji.com/sevi-siiri-siiri/?siralama=p,"Ben senin en çok sesini sevdim

Buğulu çoğu zaman, taze bir ekmek gibi

Önce aşka çağıran, sonra dinlendiren

Bana her zaman dost, her zaman sevgili
Ben senin en çok ellerini sevdim

Bir pınar serinliğinde, küçücük ve ak pak

Nice güzellikler gördüm yeryüzünde

En güzeli bir sabah ellerinle uyanmak
Ben senin en çok gözlerini sevdim

Kah çocukça mavi, kah inadına yeşil

Aydınlıklar, esenlikler, mutluluklar

Hiç biri gözlerin kadar anlamlı değil
Ben senin en çok gülüşünü sevdim

Sevindiren, içimde umut çiçekleri açtıran

Unutturur bana birden acıları, güçlükleri

Dünyam aydınlanır sen güldüğün zaman
Ben senin en çok davranışlarını sevdim

Güçsüze merhametini, zalime direnişini

Haksızlıklar, zorbalıklar karsısında

Vahşi ve mağrur bir dişi kaplan kesilişini
Ben senin en çok sevgi dolu yüreğini sevdim

Tüm çocuklara kanat geren anneliğini

Nice sevgilerin bir pula satıldığı bir dünyada

Sensin, her şeyin üstünde tutan sevgini
Ben senin en çok bana yansımanı sevdim

Bende yeniden var olmanı, benimle bütünleşmeni

Mertliğini, yalansızlığını, dupduruluğunu sevdim

Ben seni sevdim, ben seni sevdim, ben seni...

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 20:39:00",,,,Belirsiz,169
17,Ben Seni Sevdim Mi?,https://www.antoloji.com/ben-seni-sevdim-mi-siiri/,"Ben seni sevdim mi? Sevdim, kime ne

Tuttum, ta içime oturttum seni

Aldım, okşadım saçlarını, öptüm

İçtim yudum yudum güzelliğini
Ben seni sevdim mi? Sevdim elbette

Bendeydi özlemlerin en korkuncu

Çıldırırdım sen ne kadar uzaksan, 

Aşk değil, hiç doymayan bir şeydi bu
Ben seni sevdim mi? Sevdim doğrusu

Sevdikçe tamamlandım, bütünlendim

Biri vardı ağlayan gecelerce

Biri vardı sana tutkun; o bendim
Ben seni sevdim mi? Sevdim en büyük

En solmayan güller açtı içimde

Ömrümü değerli kılan bir şeydin

Sen benim boz bulanık gençliğimde
Ben seni sevdim mi? Sevdim, öyle ya

Bir çizgiye vardım seninle beraber

Ve bir gün orada yitirdim seni

Ben seni sevdim mi? Sevdim....

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 17:09:00",,Ben Seni Sevdim mi,1968.0,Olgunluk Dönemi (1963–1972),114
18,Ben Seni Sevdim Mi?,https://www.antoloji.com/ben-seni-sevdim-mi-siiri/?siralama=p,"Ben seni sevdim mi? Sevdim, kime ne

Tuttum, ta içime oturttum seni

Aldım, okşadım saçlarını, öptüm

İçtim yudum yudum güzelliğini
Ben seni sevdim mi? Sevdim elbette

Bendeydi özlemlerin en korkuncu

Çıldırırdım sen ne kadar uzaksan, 

Aşk değil, hiç doymayan bir şeydi bu
Ben seni sevdim mi? Sevdim doğrusu

Sevdikçe tamamlandım, bütünlendim

Biri vardı ağlayan gecelerce

Biri vardı sana tutkun; o bendim
Ben seni sevdim mi? Sevdim en büyük

En solmayan güller açtı içimde

Ömrümü değerli kılan bir şeydin

Sen benim boz bulanık gençliğimde
Ben seni sevdim mi? Sevdim, öyle ya

Bir çizgiye vardım seninle beraber

Ve bir gün orada yitirdim seni

Ben seni sevdim mi? Sevdim....

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 28.8.2000 17:09:00",,Ben Seni Sevdim mi,1968.0,Olgunluk Dönemi (1963–1972),114
19,Mustafa Kemal'i Düşünüyorum,https://www.antoloji.com/mustafa-kemal-i-dusunuyorum-siiri/,"Mustafa Kemal’i düşünüyorum; 

Yeleleri alevden al bir ata binmiş; 

Aşıyor yüce dağları, engin denizleri, 

Altın saçları dalgalanıyor rüzgarda, 

Işıl ışıl yanıyor mavi gözleri. 
Mustafa Kemal'i düşünüyorum; 

Yanmış, yıkılmış savaş meydanlarında, 

Destanlar yaratıyor cihanın görmediği, 

Arkasından dağ dağ ordular geliyor 

Her askeri Mustafa Kemal gibi. 
Mustafa Kemal’i düşünüyorum 

Gelmiş geçmiş kahramanlara bedel 

Hükmediyor uçsuz bucaksız göklere; 

Al bir ata binmiş yalın kılıç 

Koşuyor zaferden zafere. 
Mustafa Kemal'i düşünüyorum; 

Ölmemiş bir Kasım sabahı; 

Yine bizimle beraber her yerde. 

Yaşıyor dört köşesinde vatanın; 

Yaşıyor damar damar yüreklerde. 
Mustafa Kemal’i düşünüyorum; 

Altın saçları dalgalanıyor rüzgarda, 

Mavi gözlerini ışıl ışıl, görüyorum, 

Uykularıma giriyor her gece. 

Ellerinden öpüyorum.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 24.10.2009 23:50:00",,,,Belirsiz,110
20,Mustafa Kemal'i Düşünüyorum,https://www.antoloji.com/mustafa-kemal-i-dusunuyorum-siiri/?siralama=p,"Mustafa Kemal’i düşünüyorum; 

Yeleleri alevden al bir ata binmiş; 

Aşıyor yüce dağları, engin denizleri, 

Altın saçları dalgalanıyor rüzgarda, 

Işıl ışıl yanıyor mavi gözleri. 
Mustafa Kemal'i düşünüyorum; 

Yanmış, yıkılmış savaş meydanlarında, 

Destanlar yaratıyor cihanın görmediği, 

Arkasından dağ dağ ordular geliyor 

Her askeri Mustafa Kemal gibi. 
Mustafa Kemal’i düşünüyorum 

Gelmiş geçmiş kahramanlara bedel 

Hükmediyor uçsuz bucaksız göklere; 

Al bir ata binmiş yalın kılıç 

Koşuyor zaferden zafere. 
Mustafa Kemal'i düşünüyorum; 

Ölmemiş bir Kasım sabahı; 

Yine bizimle beraber her yerde. 

Yaşıyor dört köşesinde vatanın; 

Yaşıyor damar damar yüreklerde. 
Mustafa Kemal’i düşünüyorum; 

Altın saçları dalgalanıyor rüzgarda, 

Mavi gözlerini ışıl ışıl, görüyorum, 

Uykularıma giriyor her gece. 

Ellerinden öpüyorum.

 Ümit Yaşar Oğuzcan

Kayıt Tarihi : 24.10.2009 23:50:00",,,,Belirsiz,110
